name,rating,genres,tags
The Elder Scrolls VI,4.86,"Action, RPG","Singleplayer, Atmospheric, RPG, Open World, First-Person"
No Case Should Remain Unsolved,4.83,"Adventure, Indie","Singleplayer, Steam Achievements, Steam Cloud, Story Rich, 2D"
Gimmick!,4.83,,Singleplayer
Super Robot Taisen: Original Generation,4.83,"Action, Strategy","Singleplayer, exclusive, true exclusive"
The Witcher 3: Wild Hunt – Blood and Wine,4.81,RPG,"Horror, War, Blood, love"
The Witcher 3 Wild Hunt - Complete Edition,4.8,"Adventure, RPG","Fantasy, War, combat, Magic, explore"
The Witcher 3: Wild Hunt – Hearts of Stone,4.76,RPG,"Romance, Monsters, hunt, pack"
Persona 5 Royal,4.75,"Adventure, RPG","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack"
Mass Effect Trilogy,4.75,"Action, Shooter, RPG","War, console, ancient"
Cyberpunk 2077: Phantom Liberty,4.71,"Action, Shooter","Sci-fi, Exploration, Violent, Futuristic, Cyberpunk"
Sonic Triple Trouble 16-Bit (NoahNCopeland),4.71,"Action, Adventure, Indie, Platformer",
Bloodborne: The Old Hunters,4.71,"Action, RPG",Souls-like
Adventure Island IV,4.71,"Adventure, Platformer",
Guilty Parade,4.71,"Adventure, Indie","Singleplayer, Atmospheric, Story Rich, Sci-fi, Comedy"
Godzilla Save the Earth,4.71,"Action, Fighting","Multiplayer, combat, battle, city, fight"
Arcaea,4.71,"Arcade, Casual","online, Music, friends, Rhythm, japan"
Victoria 2: Heart of Darkness,4.71,Strategy,"Multiplayer, Space, War, combat, battle"
Harvest Moon: Friends of Mineral Town (Wii),4.71,"Adventure, Simulation","console, build, Animals, NES, farm"
The Binding of Isaac: Repentance,4.69,Action,
The Last Of Us Remastered,4.69,"Action, Adventure","Multiplayer, Atmospheric, Survival, Stealth, Action-Adventure"
Esoteric Ebb,4.67,Adventure,
Quake II: Enhanced Edition,4.67,"Action, Shooter","Singleplayer, First-Person, Sci-fi, Horror, FPS"
That level again 2,4.67,"Casual, Indie, Puzzle","Singleplayer, Steam Achievements, 2D, Multiple Endings, Linear"
Charlie (Hazbin Hotel) mega porn pack 1,4.67,,
